mock_species,mock_replicate,quality_filt,classifier,sequences_classified,closeness_score,lowest_possible_closeness_score,delta_closeness_score
Botrytis_fabae,Mock2,Qmin17,Emu,1903,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin17,Emu,534.8047423,1,1,0
Cryptovalsa_ampelina,Mock2,Qmin17,Emu,703.9604542,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin17,Emu,1924.860002,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin17,Emu,1739.043172,2,2,0
Erysiphe_necator,Mock2,Qmin17,Emu,787.0854637,1,1,0
Eutypa_lata,Mock2,Qmin17,Emu,1894,1,1,0
Fusarium_proliferatum,Mock2,Qmin17,Emu,1267.513286,1,1,0
Geotrichum_candidum,Mock2,Qmin17,Emu,1076.248661,2,1,1
Puccinia_graminis,Mock2,Qmin17,Emu,1365.421172,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin17,Emu,1881.421359,1,1,0
Puccinia_triticina,Mock2,Qmin17,Emu,1123.165138,6,1,5
Pyrenophora_tritici-repentis,Mock2,Qmin17,Emu,1529.407672,1,1,0
Scedosporium_boydii,Mock2,Qmin17,Emu,589.9149634,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin17,Emu,1938,5,2,3
Sporisorium_scitamineum,Mock2,Qmin17,Emu,1438.040575,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin17,Kraken2,1838,4,4,0
Austropuccinia_psidii,Mock2,Qmin17,Kraken2,1424,3,3,0
Botrytis_cinerea,Mock2,Qmin17,Kraken2,1671,2,1,1
Botrytis_fabae,Mock2,Qmin17,Kraken2,1596,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin17,Kraken2,484,3,1,2
Cryptovalsa_ampelina,Mock2,Qmin17,Kraken2,1474,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin17,Kraken2,1924,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin17,Kraken2,1827,2,2,0
Erysiphe_necator,Mock2,Qmin17,Kraken2,1357,1,1,0
Eutypa_lata,Mock2,Qmin17,Kraken2,1827,1,1,0
Fusarium_proliferatum,Mock2,Qmin17,Kraken2,25,1,1,0
Geotrichum_candidum,Mock2,Qmin17,Kraken2,1923,2,1,1
Puccinia_graminis,Mock2,Qmin17,Kraken2,1738,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin17,Kraken2,1895,1,1,0
Puccinia_triticina,Mock2,Qmin17,Kraken2,1850,1,1,0
Pyrenophora_tritici-repentis,Mock2,Qmin17,Kraken2,1603,1,1,0
Scedosporium_boydii,Mock2,Qmin17,Kraken2,1881,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin17,Kraken2,1695,5,2,3
Sporisorium_scitamineum,Mock2,Qmin17,Kraken2,936,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin17,minimap2,1880,4,4,0
Austropuccinia_psidii,Mock2,Qmin17,minimap2,1470,5,3,2
Botrytis_cinerea,Mock2,Qmin17,minimap2,1413,5,1,4
Botrytis_fabae,Mock2,Qmin17,minimap2,1410,5,1,4
Cortinarius_globuliformis_CM4,Mock2,Qmin17,minimap2,541,4,1,3
Cryptovalsa_ampelina,Mock2,Qmin17,minimap2,541,5,2,3
Diaporthe_sp_CCL067,Mock2,Qmin17,minimap2,1022,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin17,minimap2,1253,5,2,3
Erysiphe_necator,Mock2,Qmin17,minimap2,1069,5,1,4
Eutypa_lata,Mock2,Qmin17,minimap2,523,5,1,4
Fusarium_proliferatum,Mock2,Qmin17,minimap2,400,5,1,4
Geotrichum_candidum,Mock2,Qmin17,minimap2,1861,2,1,1
Puccinia_graminis,Mock2,Qmin17,minimap2,339,5,1,4
Puccinia_striiformis_var_tritici,Mock2,Qmin17,minimap2,1575,1,1,0
Puccinia_triticina,Mock2,Qmin17,minimap2,374,5,1,4
Pyrenophora_tritici-repentis,Mock2,Qmin17,minimap2,261,5,1,4
Scedosporium_boydii,Mock2,Qmin17,minimap2,1649,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin17,minimap2,1417,5,2,3
Sporisorium_scitamineum,Mock2,Qmin17,minimap2,1498,2,1,1
